,degree
jon,0.1963470319634703
jaime,0.1506849315068493
catelyn,0.1095890410958904
sansa,0.1050228310502283
tywin,0.0958904109589041
sam,0.0958904109589041
arya,0.091324200913242
robert,0.0821917808219178
stannis,0.0730593607305936
davos,0.0593607305936073
mance,0.0547945205479452
jorah,0.0547945205479452
brienne,0.0502283105022831
thoros,0.0502283105022831
tyrion,0.045662100456621
clegane,0.0410958904109589
bronn,0.0410958904109589
craster,0.0410958904109589
oberyn,0.0410958904109589
gendry,0.0365296803652968
gregor,0.0365296803652968
lem,0.0319634703196347
kevan,0.0319634703196347
tom,0.0319634703196347
petyr,0.0319634703196347
loras,0.0273972602739726
walder,0.0273972602739726
harwin,0.0273972602739726
frey,0.0273972602739726
ygritte,0.0273972602739726
grenn,0.0273972602739726
cersei,0.0273972602739726
chett,0.0228310502283105
janos,0.0228310502283105
mace,0.0228310502283105
shae,0.0228310502283105
satin,0.0228310502283105
lysa,0.0228310502283105
aerys,0.0228310502283105
arstan,0.0228310502283105
melisandre,0.0228310502283105
anguy,0.0228310502283105
rattleshirt,0.0182648401826484
styr,0.0182648401826484
barristan,0.0182648401826484
jack-be-lucky,0.0182648401826484
edric,0.0182648401826484
sandor,0.0182648401826484
hodor,0.0182648401826484
viserys,0.0182648401826484
lothar,0.0182648401826484
grey,0.0182648401826484
tickler,0.0182648401826484
meera,0.0182648401826484
old,0.0182648401826484
jeyne,0.0182648401826484
kegs,0.0182648401826484
ned,0.0182648401826484
jojen,0.0182648401826484
hoster,0.0182648401826484
axell,0.0182648401826484
tormund,0.0182648401826484
roose,0.0182648401826484
meryn,0.0182648401826484
jarl,0.0182648401826484
brown,0.0136986301369863
bowen,0.0136986301369863
lollys,0.0136986301369863
dirk,0.0136986301369863
boros,0.0136986301369863
aegon,0.0136986301369863
rhaegar,0.0136986301369863
dontos,0.0136986301369863
daario,0.0136986301369863
owen,0.0136986301369863
podrick,0.0136986301369863
balon,0.0136986301369863
pylos,0.0136986301369863
mycah,0.0136986301369863
jhiqui,0.0136986301369863
gilly,0.0136986301369863
renly,0.0136986301369863
small,0.0136986301369863
vargo,0.0136986301369863
donal,0.0136986301369863
margaery,0.0136986301369863
harma,0.0136986301369863
edmure,0.0136986301369863
mormont,0.0136986301369863
roslin,0.0136986301369863
denys,0.0136986301369863
alliser,0.0136986301369863
jack,0.0091324200913242
qyburn,0.0091324200913242
andrew,0.0091324200913242
tanda,0.0091324200913242
qhorin,0.0091324200913242
rowan,0.0091324200913242
hot,0.0091324200913242
addam,0.0091324200913242
beric,0.0091324200913242
varamyr,0.0091324200913242
tarth,0.0091324200913242
blane,0.0091324200913242
robb,0.0091324200913242
theon,0.0091324200913242
red,0.0091324200913242
elia,0.0091324200913242
orell,0.0091324200913242
brynden,0.0091324200913242
maege,0.0091324200913242
mother,0.0091324200913242
rorge,0.0091324200913242
willas,0.0091324200913242
dacey,0.0091324200913242
clydas,0.0091324200913242
cleos,0.0091324200913242
grigg,0.0091324200913242
kraznys,0.0091324200913242
robin,0.0091324200913242
val,0.0091324200913242
urswyck,0.0091324200913242
alester,0.0091324200913242
olenna,0.0091324200913242
spare,0.0091324200913242
dalla,0.0091324200913242
bannen,0.0091324200913242
salladhor,0.0091324200913242
desmond,0.0091324200913242
irri,0.0091324200913242
belwas,0.0091324200913242
black,0.0045662100456621
giant,0.0045662100456621
pycelle,0.0045662100456621
cotter,0.0045662100456621
arryn,0.0045662100456621
moon,0.0045662100456621
errok,0.0045662100456621
ashford,0.0045662100456621
clubfoot,0.0045662100456621
zollo,0.0045662100456621
rast,0.0045662100456621
mandon,0.0045662100456621
dale,0.0045662100456621
willem,0.0045662100456621
daenerys,0.0045662100456621
edwyn,0.0045662100456621
dondarrion,0.0045662100456621
fingers,0.0045662100456621
thoren,0.0045662100456621
ghost,0.0045662100456621
aenys,0.0045662100456621
cressen,0.0045662100456621
rickon,0.0045662100456621
joramun,0.0045662100456621
harren,0.0045662100456621
bastard,0.0045662100456621
husband,0.0045662100456621
mully,0.0045662100456621
genna,0.0045662100456621
rickard,0.0045662100456621
shagga,0.0045662100456621
walton,0.0045662100456621
garth,0.0045662100456621
arthur,0.0045662100456621
septon,0.0045662100456621
jhogo,0.0045662100456621
timett,0.0045662100456621
eddard,0.0045662100456621
martyn,0.0045662100456621
mero,0.0045662100456621
aemon,0.0045662100456621
myrcella,0.0045662100456621
oswell,0.0045662100456621
steelshanks,0.0045662100456621
tommen,0.0045662100456621
bryen,0.0045662100456621
rossart,0.0045662100456621
queen,0.0045662100456621
redwyne,0.0045662100456621
brella,0.0045662100456621
othell,0.0045662100456621
xaro,0.0045662100456621
pyat,0.0045662100456621
dickon,0.0045662100456621
tyroshi,0.0045662100456621
lancel,0.0045662100456621
merrett,0.0045662100456621
devan,0.0045662100456621
lark,0.0045662100456621
butterbumps,0.0045662100456621
varys,0.0045662100456621
utherydes,0.0045662100456621
samwell,0.0045662100456621
dick,0.0045662100456621
symon,0.0045662100456621
grazdan,0.0045662100456621
shagwell,0.0045662100456621
tytos,0.0045662100456621
ghael,0.0045662100456621
cleon,0.0045662100456621
sweet,0.0045662100456621
mag,0.0045662100456621
megga,0.0045662100456621
elinor,0.0045662100456621
azor,0.0045662100456621
porridge,0.0045662100456621
missandei,0.0045662100456621
jason,0.0045662100456621
ben,0.0045662100456621
florent,0.0045662100456621
sharna,0.0045662100456621
garlan,0.0045662100456621
ollo,0.0045662100456621
dornish,0.0045662100456621
ellaria,0.0045662100456621
marq,0.0045662100456621
florian,0.0045662100456621
lothor,0.0045662100456621
baelor,0.0045662100456621
